dead_tariff_line,rulings_citing_it,six_digit_heading_status,newest_ruling_citing_it,example_ruling,verify_at
6203.43.35,170,subdivided,2008-10-20,N039737,https://hts.usitc.gov/search?query=6203.43.35
6210.50.50,159,subdivided,2014-05-12,N252846,https://hts.usitc.gov/search?query=6210.50.50
6211.49.10,150,subdivided,2011-03-04,N125055,https://hts.usitc.gov/search?query=6211.49.10
6211.32.00,149,subdivided,2014-12-19,N259663,https://hts.usitc.gov/search?query=6211.32.00
6202.13.40,144,gone entirely,2018-09-21,N300320,https://hts.usitc.gov/search?query=6202.13.40
6211.41.00,118,gone entirely,2010-06-29,N111603,https://hts.usitc.gov/search?query=6211.41.00
6115.93.90,102,gone entirely,2006-12-28,N004460,https://hts.usitc.gov/search?query=6115.93.90
6406.99.15,98,gone entirely,2012-01-20,N198395,https://hts.usitc.gov/search?query=6406.99.15
6402.99.40,95,subdivided,2012-11-20,H174858,https://hts.usitc.gov/search?query=6402.99.40
6204.62.20,92,subdivided,2007-05-16,N010986,https://hts.usitc.gov/search?query=6204.62.20
6404.19.50,92,subdivided,2011-11-15,N188949,https://hts.usitc.gov/search?query=6404.19.50
6406.99.30,87,gone entirely,2011-08-03,N173935,https://hts.usitc.gov/search?query=6406.99.30
6402.99.70,87,subdivided,2011-08-19,N176567,https://hts.usitc.gov/search?query=6402.99.70
6204.69.25,84,subdivided,2014-10-06,N257438,https://hts.usitc.gov/search?query=6204.69.25
6204.63.30,80,subdivided,2008-04-01,N024377,https://hts.usitc.gov/search?query=6204.63.30
6404.19.80,78,subdivided,2011-07-13,N171650,https://hts.usitc.gov/search?query=6404.19.80
6202.12.20,75,gone entirely,2008-10-17,N041342,https://hts.usitc.gov/search?query=6202.12.20
6402.99.15,74,subdivided,1994-10-20,803390,https://hts.usitc.gov/search?query=6402.99.15
6211.49.00,72,subdivided,2000-11-21,847571,https://hts.usitc.gov/search?query=6211.49.00
6505.90.15,70,gone entirely,2010-02-25,N092256,https://hts.usitc.gov/search?query=6505.90.15
6204.69.90,70,subdivided,2012-07-27,N227346,https://hts.usitc.gov/search?query=6204.69.90
6404.19.70,70,subdivided,2011-10-04,N183637,https://hts.usitc.gov/search?query=6404.19.70
6201.93.20,66,gone entirely,2012-03-12,N205004,https://hts.usitc.gov/search?query=6201.93.20
6114.10.00,64,gone entirely,2006-09-14,M85942,https://hts.usitc.gov/search?query=6114.10.00
6202.93.20,64,gone entirely,2008-07-25,N033219,https://hts.usitc.gov/search?query=6202.93.20
6402.99.60,61,subdivided,2011-04-11,N155835,https://hts.usitc.gov/search?query=6402.99.60
6203.42.20,60,subdivided,2008-01-10,N020876,https://hts.usitc.gov/search?query=6203.42.20
6217.10.00,58,subdivided,2000-02-21,850098,https://hts.usitc.gov/search?query=6217.10.00
6210.40.90,52,subdivided,2008-05-29,N028318,https://hts.usitc.gov/search?query=6210.40.90
6110.90.00,50,subdivided,2000-11-30,892852,https://hts.usitc.gov/search?query=6110.90.00
6115.92.90,47,gone entirely,2006-09-29,967739,https://hts.usitc.gov/search?query=6115.92.90
6113.00.00,47,subdivided,2018-09-28,N300464,https://hts.usitc.gov/search?query=6113.00.00
6202.11.00,47,gone entirely,2009-02-24,N052598,https://hts.usitc.gov/search?query=6202.11.00
6201.13.40,47,gone entirely,2018-09-21,N300320,https://hts.usitc.gov/search?query=6201.13.40
6505.90.50,45,gone entirely,2006-08-11,M85524,https://hts.usitc.gov/search?query=6505.90.50
6210.10.40,44,subdivided,2000-05-07,852515,https://hts.usitc.gov/search?query=6210.10.40
6210.50.90,44,subdivided,2005-12-02,L88612,https://hts.usitc.gov/search?query=6210.50.90
6201.91.20,44,gone entirely,2007-12-12,N020099,https://hts.usitc.gov/search?query=6201.91.20
6305.31.00,42,gone entirely,2000-07-27,855061,https://hts.usitc.gov/search?query=6305.31.00
6211.11.20,41,subdivided,1994-10-28,802797,https://hts.usitc.gov/search?query=6211.11.20
6212.10.20,40,subdivided,2000-04-11,851388,https://hts.usitc.gov/search?query=6212.10.20
6505.90.30,40,gone entirely,2010-09-09,N119795,https://hts.usitc.gov/search?query=6505.90.30
6117.80.00,37,subdivided,2000-10-12,846329,https://hts.usitc.gov/search?query=6117.80.00
6217.10.90,34,subdivided,2000-04-27,F84991,https://hts.usitc.gov/search?query=6217.10.90
6406.99.90,34,gone entirely,2011-11-10,N188783,https://hts.usitc.gov/search?query=6406.99.90
6210.40.10,33,subdivided,1994-08-11,800111,https://hts.usitc.gov/search?query=6210.40.10
6402.99.14,32,subdivided,2007-02-07,N005756,https://hts.usitc.gov/search?query=6402.99.14
6307.90.94,31,subdivided,1992-05-28,556636,https://hts.usitc.gov/search?query=6307.90.94
6201.92.15,31,gone entirely,2002-06-27,I82389,https://hts.usitc.gov/search?query=6201.92.15
6201.93.10,31,gone entirely,2010-07-16,N110496,https://hts.usitc.gov/search?query=6201.93.10
6505.90.70,30,gone entirely,2006-12-27,N004147,https://hts.usitc.gov/search?query=6505.90.70
6210.50.10,30,subdivided,1994-08-15,800840,https://hts.usitc.gov/search?query=6210.50.10
6202.99.10,29,gone entirely,2006-09-27,M86246,https://hts.usitc.gov/search?query=6202.99.10
6203.49.80,28,subdivided,2006-07-11,M84158,https://hts.usitc.gov/search?query=6203.49.80
6115.11.00,28,gone entirely,2006-10-24,M87061,https://hts.usitc.gov/search?query=6115.11.00
6117.80.90,27,subdivided,1998-07-14,C89481,https://hts.usitc.gov/search?query=6117.80.90
6210.50.30,26,subdivided,2016-02-12,N267351,https://hts.usitc.gov/search?query=6210.50.30
6505.90.25,25,gone entirely,2008-02-22,N022542,https://hts.usitc.gov/search?query=6505.90.25
6203.43.20,24,subdivided,2006-10-05,M86651,https://hts.usitc.gov/search?query=6203.43.20
6404.11.80,24,subdivided,2011-10-13,N184377,https://hts.usitc.gov/search?query=6404.11.80
6302.21.20,23,subdivided,1994-11-23,804095,https://hts.usitc.gov/search?query=6302.21.20
6404.11.70,23,subdivided,2011-02-18,N144457,https://hts.usitc.gov/search?query=6404.11.70
6202.93.10,22,gone entirely,2007-06-04,N011219,https://hts.usitc.gov/search?query=6202.93.10
6307.90.90,22,subdivided,2000-09-13,848000,https://hts.usitc.gov/search?query=6307.90.90
6210.40.30,21,subdivided,2007-07-31,N014189,https://hts.usitc.gov/search?query=6210.40.30
6505.90.40,21,gone entirely,2008-07-31,N032703,https://hts.usitc.gov/search?query=6505.90.40
6110.10.10,20,gone entirely,2001-04-26,G88750,https://hts.usitc.gov/search?query=6110.10.10
6403.30.00,20,gone entirely,2006-05-05,M82442,https://hts.usitc.gov/search?query=6403.30.00
6505.90.90,19,gone entirely,2008-02-19,N022570,https://hts.usitc.gov/search?query=6505.90.90
6203.49.20,19,subdivided,2008-04-14,N024872,https://hts.usitc.gov/search?query=6203.49.20
6406.99.60,19,gone entirely,2010-03-30,N096220,https://hts.usitc.gov/search?query=6406.99.60
6115.12.20,18,gone entirely,2006-12-07,N003068,https://hts.usitc.gov/search?query=6115.12.20
6203.43.15,17,subdivided,2006-07-05,M84151,https://hts.usitc.gov/search?query=6203.43.15
6201.12.20,17,gone entirely,2008-05-23,N027556,https://hts.usitc.gov/search?query=6201.12.20
6115.19.00,17,gone entirely,2000-04-13,885021,https://hts.usitc.gov/search?query=6115.19.00
6211.31.00,17,gone entirely,2006-06-13,M83753,https://hts.usitc.gov/search?query=6211.31.00
6404.11.50,17,subdivided,2011-04-11,N155835,https://hts.usitc.gov/search?query=6404.11.50
6302.92.00,16,gone entirely,2004-04-06,K84076,https://hts.usitc.gov/search?query=6302.92.00
6202.91.20,16,gone entirely,2008-12-12,N045538,https://hts.usitc.gov/search?query=6202.91.20
6205.10.20,15,gone entirely,2002-12-10,I89199,https://hts.usitc.gov/search?query=6205.10.20
6108.22.00,15,subdivided,2000-09-09,845247,https://hts.usitc.gov/search?query=6108.22.00
6303.92.00,14,subdivided,1994-01-18,955036,https://hts.usitc.gov/search?query=6303.92.00
6402.99.20,14,subdivided,2005-11-15,L88231,https://hts.usitc.gov/search?query=6402.99.20
6204.61.90,13,subdivided,2007-06-29,N013089,https://hts.usitc.gov/search?query=6204.61.90
6204.69.40,13,subdivided,2006-10-02,M86307,https://hts.usitc.gov/search?query=6204.69.40
6201.99.90,13,gone entirely,2007-02-23,N006370,https://hts.usitc.gov/search?query=6201.99.90
6207.92.40,12,gone entirely,2006-08-09,M84843,https://hts.usitc.gov/search?query=6207.92.40
6302.59.00,12,subdivided,2004-07-20,R00568,https://hts.usitc.gov/search?query=6302.59.00
6202.99.90,12,gone entirely,2011-09-16,N182122,https://hts.usitc.gov/search?query=6202.99.90
6302.52.20,12,gone entirely,2004-07-06,K86666,https://hts.usitc.gov/search?query=6302.52.20
6202.92.15,12,gone entirely,2011-03-22,N150584,https://hts.usitc.gov/search?query=6202.92.15
6212.10.10,12,subdivided,1994-12-15,804187,https://hts.usitc.gov/search?query=6212.10.10
6302.31.10,12,subdivided,2000-08-16,855481,https://hts.usitc.gov/search?query=6302.31.10
6216.00.32,12,subdivided,1994-04-22,896113,https://hts.usitc.gov/search?query=6216.00.32
6204.69.60,11,subdivided,2006-06-15,M83643,https://hts.usitc.gov/search?query=6204.69.60
6204.63.15,11,subdivided,2009-11-16,N082156,https://hts.usitc.gov/search?query=6204.63.15
6307.90.95,11,subdivided,1991-01-30,088053,https://hts.usitc.gov/search?query=6307.90.95
6115.20.90,11,gone entirely,2006-09-20,M86306,https://hts.usitc.gov/search?query=6115.20.90
6302.31.20,11,subdivided,1994-10-28,803158,https://hts.usitc.gov/search?query=6302.31.20
6101.10.00,10,gone entirely,2006-04-13,M81392,https://hts.usitc.gov/search?query=6101.10.00
6116.93.90,10,subdivided,1992-02-27,871421,https://hts.usitc.gov/search?query=6116.93.90
6217.90.00,9,subdivided,1993-01-05,880991,https://hts.usitc.gov/search?query=6217.90.00
6107.92.00,9,gone entirely,2006-12-22,N004603,https://hts.usitc.gov/search?query=6107.92.00
6201.11.00,9,gone entirely,2013-08-20,N244254,https://hts.usitc.gov/search?query=6201.11.00
6202.19.10,9,gone entirely,2006-09-29,M86257,https://hts.usitc.gov/search?query=6202.19.10
6406.10.80,9,subdivided,1990-03-26,086578,https://hts.usitc.gov/search?query=6406.10.80
6302.52.10,9,gone entirely,2003-02-27,J81319,https://hts.usitc.gov/search?query=6302.52.10
6307.90.87,9,subdivided,2000-07-25,854790,https://hts.usitc.gov/search?query=6307.90.87
6110.20.00,8,subdivided,2003-09-05,J87183,https://hts.usitc.gov/search?query=6110.20.00
6117.90.00,8,subdivided,1993-12-15,892542,https://hts.usitc.gov/search?query=6117.90.00
6115.12.00,8,gone entirely,2000-04-13,885021,https://hts.usitc.gov/search?query=6115.12.00
6216.00.48,8,subdivided,1990-05-02,851408,https://hts.usitc.gov/search?query=6216.00.48
6115.93.30,8,gone entirely,2003-02-12,965914,https://hts.usitc.gov/search?query=6115.93.30
6404.19.60,8,subdivided,2007-11-02,N018569,https://hts.usitc.gov/search?query=6404.19.60
6204.63.12,7,subdivided,2001-03-07,G87909,https://hts.usitc.gov/search?query=6204.63.12
6116.10.90,7,subdivided,1992-08-14,876713,https://hts.usitc.gov/search?query=6116.10.90
6115.92.20,7,gone entirely,1995-10-02,814477,https://hts.usitc.gov/search?query=6115.92.20
6115.93.60,7,gone entirely,2006-09-20,M86306,https://hts.usitc.gov/search?query=6115.93.60
6505.90.08,7,gone entirely,2011-01-07,N137298,https://hts.usitc.gov/search?query=6505.90.08
6402.19.10,7,subdivided,1999-10-28,956588,https://hts.usitc.gov/search?query=6402.19.10
6204.63.25,6,subdivided,2001-05-15,H81183,https://hts.usitc.gov/search?query=6204.63.25
6506.99.00,6,subdivided,2000-12-13,G84349,https://hts.usitc.gov/search?query=6506.99.00
6401.91.00,6,gone entirely,1999-07-28,E84771,https://hts.usitc.gov/search?query=6401.91.00
6204.69.30,6,subdivided,1994-12-16,804614,https://hts.usitc.gov/search?query=6204.69.30
6109.90.20,6,subdivided,1994-11-10,956796,https://hts.usitc.gov/search?query=6109.90.20
6211.39.90,6,subdivided,2004-07-15,K87227,https://hts.usitc.gov/search?query=6211.39.90
6210.40.70,6,subdivided,2003-10-23,J89311,https://hts.usitc.gov/search?query=6210.40.70
6202.99.00,6,gone entirely,1994-09-01,801547,https://hts.usitc.gov/search?query=6202.99.00
6115.99.18,6,subdivided,2006-09-15,M86470,https://hts.usitc.gov/search?query=6115.99.18
6115.12.10,6,gone entirely,2003-02-12,965914,https://hts.usitc.gov/search?query=6115.12.10
6403.19.60,6,subdivided,1994-02-07,894043,https://hts.usitc.gov/search?query=6403.19.60
6402.99.05,6,subdivided,2006-01-26,L89759,https://hts.usitc.gov/search?query=6402.99.05
6115.92.30,6,gone entirely,2003-02-12,965917,https://hts.usitc.gov/search?query=6115.92.30
6116.93.20,5,subdivided,1990-10-26,857006,https://hts.usitc.gov/search?query=6116.93.20
6203.49.30,5,subdivided,1993-08-11,954333,https://hts.usitc.gov/search?query=6203.49.30
6115.93.20,5,gone entirely,2000-01-16,848918,https://hts.usitc.gov/search?query=6115.93.20
6201.92.10,5,gone entirely,1999-04-15,D89358,https://hts.usitc.gov/search?query=6201.92.10
6506.92.00,4,gone entirely,2001-02-12,G85793,https://hts.usitc.gov/search?query=6506.92.00
6111.10.00,4,gone entirely,2003-08-08,J87048,https://hts.usitc.gov/search?query=6111.10.00
6115.91.00,4,gone entirely,2005-11-18,L88220,https://hts.usitc.gov/search?query=6115.91.00
6503.00.90,4,gone entirely,2005-06-07,L84522,https://hts.usitc.gov/search?query=6503.00.90
6203.41.18,4,subdivided,2005-08-05,L86441,https://hts.usitc.gov/search?query=6203.41.18
6116.10.70,4,subdivided,1994-07-21,955890,https://hts.usitc.gov/search?query=6116.10.70
6204.69.20,4,subdivided,2008-02-07,N021804,https://hts.usitc.gov/search?query=6204.69.20
6306.99.00,4,gone entirely,2006-03-22,M80607,https://hts.usitc.gov/search?query=6306.99.00
6116.10.35,4,subdivided,1991-12-03,089847,https://hts.usitc.gov/search?query=6116.10.35
6116.92.60,4,subdivided,1991-05-06,862687,https://hts.usitc.gov/search?query=6116.92.60
6208.99.60,4,subdivided,1994-10-12,956505,https://hts.usitc.gov/search?query=6208.99.60
6211.39.00,4,subdivided,1993-11-01,891346,https://hts.usitc.gov/search?query=6211.39.00
6201.99.00,4,gone entirely,1994-02-02,893898,https://hts.usitc.gov/search?query=6201.99.00
6204.69.10,4,subdivided,1998-04-13,C85876,https://hts.usitc.gov/search?query=6204.69.10
6210.30.10,4,subdivided,2000-05-22,852798,https://hts.usitc.gov/search?query=6210.30.10
6402.11.00,4,gone entirely,1993-11-03,955260,https://hts.usitc.gov/search?query=6402.11.00
6203.49.40,3,subdivided,1999-07-08,E83485,https://hts.usitc.gov/search?query=6203.49.40
6202.13.10,3,gone entirely,2005-11-23,L88223,https://hts.usitc.gov/search?query=6202.13.10
6202.19.90,3,gone entirely,2000-12-08,G84498,https://hts.usitc.gov/search?query=6202.19.90
6208.90.30,3,gone entirely,2002-09-19,I85445,https://hts.usitc.gov/search?query=6208.90.30
6109.10.10,3,subdivided,2006-12-05,N003939,https://hts.usitc.gov/search?query=6109.10.10
6201.91.10,3,gone entirely,2002-10-24,I86542,https://hts.usitc.gov/search?query=6201.91.10
